rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares
1,15.96907,14.157715,0.0,0.0
2,13.884948,11.265869,0.06721738,2.8307343
3,11.779539,9.345703,0.47121042,3.1483154
4,11.583733,9.449463,0.0,0.0
5,11.423694,10.926147,0.32953447,3.9075928
6,11.315781,9.031982,0.0,0.0
7,11.20602,1.6000977,0.0,0.0
8,10.739178,9.628906,0.0,0.0
9,10.738901,6.2993164,0.104360014,0.86460114
10,10.542625,6.069824,0.0,0.0
11,10.474306,4.816986,2.8060956,0.8853378
12,10.00607,8.296188,0.03595063,22.475403
13,9.937356,7.6970215,0.0,0.0
14,9.689453,8.149658,0.0,0.0
15,9.571615,6.0351562,0.0,0.0
16,9.446454,6.588379,1.8474619E-5,6.7558365
17,9.259289,4.729187,0.0021427704,6.104004
18,9.215756,7.8651123,0.1405516,6.4882507
19,9.198236,8.102417,0.0,0.0
20,8.961204,6.168457,0.0,0.0
21,8.814204,3.6317139,0.0,0.0
22,8.798122,4.8417664,3.9075134,2.2095108
23,8.58903,6.125,0.14015171,2.6802444
24,8.45779,1.6242676,4.4829273,7.531601
25,8.44878,0.41967773,6.981932,6.2408905
26,8.313871,2.4871826,1.775136,2.7693558
27,8.19984,4.7992554,2.8326592,1.2116394
28,8.003519,2.4694824,4.3238044,4.5074615
29,7.807721,0.90252686,6.1971197,6.428314
30,7.737978,4.715515,0.67649865,1.3244934
31,7.528035,2.5408936,0.9595272,0.5743103
32,7.271596,3.6174316,0.0,0.0
33,7.2093706,3.5874023,1.2399179,4.327095
34,7.13371,3.6888428,0.0,0.0
35,7.1295943,0.963501,3.2634501,4.3135834
36,7.103144,4.7526855,0.0,0.0
37,6.9703646,6.055664,0.81976944,4.4966583
38,6.957994,3.4801025,0.0,0.0
39,6.903939,0.4048462,4.953596,2.2172546
40,6.839925,6.147949,0.30929595,0.86380005
41,6.828271,4.7753296,0.0,0.0
42,6.8031545,6.2226562,0.0,0.0
43,6.7379665,4.671509,0.0,0.0
44,6.672904,6.239746,0.0,0.0
45,6.4885902,4.834717,0.2062142,2.3451233
46,6.480202,4.5288086,0.0,0.0
47,6.454872,0.4149475,3.5346565,3.5484314
48,6.402699,4.8693237,0.07680186,3.714386
49,6.371594,2.4645996,0.909016,7.093033
50,6.361779,4.6984253,0.0,0.0
51,6.2335424,0.0,4.667527,6.5078125
52,6.2316194,3.5423584,1.7450184,2.8840332
53,6.157165,3.465088,0.0,0.0
54,6.133973,4.8308716,0.6575793,7.652664
55,6.0192695,4.8523407,0.037467673,7.969055
56,6.007664,3.4365234,0.118024506,3.447235
57,5.951331,3.4863281,0.0,0.0
58,5.865748,3.5859375,0.0,0.0
59,5.836581,0.4215088,0.0,0.0
60,5.765737,3.5910645,0.0,0.0
61,5.746474,3.649475,0.12859413,1.9845963
