Actual Flu Population,Estimated Flu Population
15.000001,15.012079
13.75,13.6114645
11.5,11.83952
13.0,12.787136
13.0,13.05425
13.500001,13.593028
12.5,12.454568
13.0,12.918719
12.0,11.845889
14.0,13.947554
12.5,12.518151
12.5,12.447083
13.249999,13.457302
10.0,10.027125
16.0,15.555464
14.0,14.075481
11.5,11.309607
15.75,15.688551
9.75,10.063987
9.75,9.391811
22.0,22.178831
20.25,20.068848
16.75,16.974434
19.0,19.04549
19.0,18.757378
19.75,19.956959
18.5,18.698769
19.0,19.010265
17.75,17.486555
20.5,20.406277
18.25,18.380486
18.5,18.431705
19.5,19.911936
14.5,14.415053
23.25,23.187254
20.5,20.295462
17.0,16.887398
23.0,22.791162
14.0,13.802404
14.5,14.368558
25.25,25.26729
23.5,23.823677
19.75,19.58362
22.0,21.889874
22.25,22.249594
23.0,23.03699
21.5,21.111498
22.25,22.181276
20.5,20.564869
23.75,23.908602
21.25,21.302055
21.5,21.553213
22.75,22.59716
17.0,16.786266
26.750002,26.6144
23.75,23.528362
19.75,19.743595
26.499998,26.742796
16.5,16.157248
17.0,16.8346
26.249998,26.222551
24.5,24.40096
20.75,20.97998
23.25,23.07019
23.25,23.569004
24.0,23.889868
22.75,22.664932
23.25,23.283653
21.75,21.728325
24.75,24.653782
22.5,22.775839
22.5,22.13826
23.75,23.704353
18.25,18.118937
27.5,27.609009
25.0,25.172438
21.0,20.904627
27.25,26.885687
17.75,17.636871
18.25,18.233524
25.75,25.764122
24.25,24.267109
21.0,20.939734
23.0,22.900537
23.25,23.268616
23.75,23.82588
22.75,22.814024
23.25,23.191841
21.75,21.786575
24.5,24.34026
22.5,22.534863
22.5,22.227064
23.75,23.653831
18.5,18.635153
26.750002,26.831125
24.5,24.425308
21.25,21.33228
26.499998,26.717426
18.25,18.327387
18.5,18.480396
24.5,24.209644
23.25,23.389091
20.5,20.385061
22.25,22.393589
22.25,22.223425
22.75,22.734152
22.0,22.068756
22.25,22.71309
21.25,21.075537
23.25,23.28146
21.75,21.694271
21.75,21.793156
22.75,22.78962
18.25,18.398846
25.25,25.564186
23.5,23.166424
20.5,20.669506
25.0,24.71941
18.0,18.213493
18.25,18.385468
22.5,22.345592
21.75,21.697504
19.5,19.49625
21.0,20.983768
21.0,21.270441
21.5,21.516344
20.75,20.709723
21.0,20.835743
20.0,19.706762
21.75,21.683119
20.5,20.673132
20.5,20.396072
21.25,21.07
17.75,18.086067
23.25,22.64162
21.75,21.705378
19.5,19.73622
23.0,22.718994
17.25,17.317068
17.5,17.457209
20.5,20.724083
20.0,20.095951
18.25,18.523197
19.5,19.671888
19.5,19.398417
19.75,20.134878
19.25,19.285078
19.5,19.455818
18.75,18.693466
20.0,19.692493
19.0,19.05749
19.0,19.058498
19.75,19.673407
16.75,16.766703
21.0,20.943197
20.0,19.82747
18.5,18.439766
20.75,20.526012
16.5,16.20923
16.75,16.868364
18.5,18.489872
18.0,18.2997
17.0,16.958391
17.75,17.9919
17.75,17.906395
18.0,17.793121
17.5,17.481663
17.75,18.171154
17.25,17.39426
18.25,18.113297
17.5,17.328295
17.5,17.489574
18.0,17.811163
15.75,15.854723
18.5,17.903326
18.25,18.209433
17.0,17.027582
18.5,18.633116
15.5,15.627834
15.75,15.867371
16.5,16.791075
16.25,16.52442
15.5,15.588436
16.25,16.066835
16.25,16.245275
16.25,15.994516
16.0,16.162725
16.25,15.95005
15.75,16.239567
16.25,16.39663
16.0,15.786109
16.0,16.200397
16.25,15.964577
14.749999,14.784638
16.5,16.478416
16.25,16.462284
15.75,15.879913
16.5,16.574991
14.5,14.390858
14.749999,14.767644
14.5,14.688751
14.5,14.684162
14.25,14.02878
14.5,14.711941
14.5,14.32427
14.5,14.500829
14.5,14.459731
14.5,14.363112
14.5,14.374134
14.5,14.261878
14.5,14.537774
14.5,14.537304
14.5,14.542494
13.75,13.688896
14.5,14.679369
14.5,14.370692
14.25,14.069367
14.5,14.684773
13.500001,13.533861
13.75,13.737772
12.75,12.639236
13.0,13.116406
13.0,13.155428
13.0,13.38396
13.0,13.049558
13.0,13.124204
13.0,13.106054
13.0,13.160533
13.0,13.038904
13.0,12.742371
13.0,12.982469
13.0,12.78152
13.0,13.065554
12.75,12.758947
12.5,12.496968
13.0,12.787302
13.0,13.268549
12.5,12.578898
12.5,12.440038
12.75,12.597314
11.25,11.000735
11.5,11.576513
11.75,11.836374
11.75,11.679262
11.75,11.654143
11.5,11.024442
11.75,11.785875
11.75,11.7093935
11.75,11.881956
11.5,11.392055
11.75,11.363845
11.75,11.688633
11.75,12.020313
11.75,11.606146
11.0,10.847156
11.5,11.718199
11.75,11.698528
11.0,11.023719
11.75,11.865857
11.75,11.713635
9.75,10.092858
10.25,10.285955
10.75,10.567655
10.5,10.607469
10.5,10.605842
10.25,10.345512
10.5,10.115888
10.5,10.456088
10.75,10.766529
10.25,9.92069
10.5,10.53949
10.5,10.527626
10.25,10.4114685
10.75,10.734154
9.5,9.990312
10.0,9.9121895
10.75,10.671001
9.5,9.574065
10.75,10.991645
10.75,10.7637005
8.5,8.514258
9.0,8.931618
9.75,9.62147
9.25,9.387648
9.25,9.391707
9.0,8.873618
9.5,9.560175
9.25,9.2763605
9.5,9.4856205
9.0,9.309462
9.5,9.274974
9.5,9.554696
9.25,9.361929
10.0,9.874017
8.0,8.281317
9.0,9.346386
9.75,9.682318
8.25,8.37081
10.0,9.908537
10.0,9.964538
7.25,6.9098344
8.0,8.049474
8.75,8.79972
8.25,8.370671
8.25,8.3269415
8.0,8.108951
8.5,8.805937
8.25,8.182947
8.5,8.094178
7.75,8.095564
8.5,8.440073
8.5,8.469774
8.0,8.431183
9.0,8.729716
7.0,6.9678135
7.75,7.900952
8.75,8.842682
7.0,7.386043
9.0,9.084646
9.0,9.056919
6.5,6.4826083
7.0,7.1698694
8.0,8.063405
7.25,7.0667863
7.25,7.6769547
7.0,7.0243263
7.5000005,7.5912304
7.25,7.4763894
7.75,7.4827123
7.0,7.1462765
7.5000005,7.841881
7.5000005,7.5528655
7.25,7.1685715
8.25,8.072999
6.0,6.152087
6.7500005,6.863022
7.75,7.7516346
6.0,6.2323937
8.25,8.227129
8.25,8.167982
5.5,5.5630393
6.0,6.052173
7.0,7.148637
6.5,6.474715
6.5,6.369329
6.25,6.329473
6.7500005,7.1000276
6.5,6.9740763
6.7500005,6.660961
6.0,5.976713
6.7500005,6.959171
6.7500005,6.7109985
6.25,6.4757576
7.5000005,7.5395474
5.0,5.1755176
6.0,6.263315
7.0,7.2090683
5.25,5.563769
7.75,7.94063
7.75,7.9370947
4.75,4.9731035
5.25,5.3416944
6.5,6.5376306
5.75,6.0233717
5.75,5.9628754
5.5,5.7906685
6.0,6.2391305
5.75,5.8954887
6.25,6.526108
5.25,5.363051
6.0,5.940853
6.0,6.134753
5.5,5.655449
7.0,6.873985
4.25,5.114636
5.25,5.5625787
6.25,6.6712675
4.5,4.6852665
7.0,6.9284863
7.0,7.3425503
4.0,4.710155
4.75,5.150708
5.75,5.7444687
5.0,5.114906
5.0,5.2980266
4.75,5.2545896
5.25,5.417969
5.0,5.415523
5.5,5.790729
4.5,4.9166565
5.25,5.616648
5.25,5.2474794
5.0,5.411832
6.25,6.1399384
3.7500002,4.4003935
4.5,5.112301
5.75,6.0003114
3.7500002,4.4265666
6.5,6.529884
6.5,6.6776743
3.5,4.0648627
4.0,4.3319674
5.25,5.6676726
4.5,4.9610367
4.5,4.867561
4.25,4.552353
4.75,5.0863323
4.5,4.966831
5.0,5.286788
4.0,4.712292
4.75,5.1869535
4.75,5.073672
4.25,4.6477275
5.75,6.0283356
3.25,4.0069284
4.0,4.2631674
5.0,5.1993494
3.25,4.037379
6.0,6.191759
5.75,5.9004025
3.0,3.906956
3.5,4.248672
4.75,5.087608
4.0,4.725179
4.0,4.2390842
3.7500002,4.1260095
4.0,4.681356
4.0,4.38491
4.25,5.388451
3.5,4.175849
4.25,4.608057
4.25,5.242795
3.7500002,4.103656
5.25,5.3369284
2.75,3.737966
3.5,4.047873
4.5,5.0049973
2.75,3.9160936
5.5,5.8069186
5.25,5.2691865
2.5,3.5146387
3.0,4.2765384
4.25,4.7045126
3.5,3.9896686
3.5,4.1635847
3.25,4.1352673
3.7500002,4.379464
3.5,4.799021
4.0,4.4477706
3.0,3.8274763
3.7500002,4.2866936
3.7500002,4.3780994
3.25,3.843749
4.75,4.870584
2.25,3.0509756
3.0,4.004675
4.0,4.1391387
2.25,3.571347
5.0,5.5240116
5.0,4.773842
2.25,3.4690442
2.75,3.619009
3.7500002,4.3820276
3.0,3.7683942
3.0,4.259852
2.75,3.5487592
3.25,3.813214
3.0,3.6505823
3.5,4.0861206
2.75,3.6066012
3.25,3.6551056
3.25,4.2908134
3.0,4.00567
4.5,4.66401
2.0,3.337149
2.5,3.612214
3.7500002,4.4907355
2.0,3.2093718
4.5,5.143576
4.5,4.8925242
2.0,3.4328866
2.25,3.3506634
3.25,4.9131327
2.75,3.2603762
2.75,3.7706885
2.5,3.1654468
2.75,3.610988
2.75,3.5171213
3.0,3.8125324
2.25,3.3664212
3.0,4.0328608
2.75,3.8865962
2.5,3.4579735
4.0,3.9728048
1.75,3.0426383
2.25,2.9658191
3.25,3.8173435
1.75,3.6609895
4.25,4.4134793
4.0,4.229435
1.75,3.2686837
2.0,3.0501704
3.0,4.1898746
2.5,3.6723256
2.25,3.1227367
2.25,3.9400928
2.5,3.2379868
2.25,3.7539542
2.75,3.4921577
2.0,3.5508559
2.5,3.4069853
2.5,3.2765596
2.25,3.263151
3.7500002,4.3698826
1.5,3.0056975
2.0,2.753854
3.0,2.856586
1.5,3.1715019
3.7500002,3.9816642
3.7500002,4.4687448
1.5,3.321988
1.75,3.1230905
2.75,3.4605162
2.0,3.403195
2.0,3.353427
2.0,3.5714233
2.25,3.9082592
2.0,3.3631356
2.5,3.260047
1.75,3.068909
2.25,3.1857908
2.25,3.1763966
2.0,3.6796927
3.25,4.0768785
1.25,2.4139621
1.75,3.25351
2.75,4.1075006
1.25,3.0647361
3.5,3.92403
3.5,3.9838557
1.25,2.5202262
1.5,3.2377787
2.5,3.816307
1.75,3.0856643
1.75,2.886698
1.75,3.5626698
2.0,3.6283054
1.75,3.839351
2.25,3.8417637
1.5,2.960969
2.0,2.7875092
2.0,3.309527
1.75,3.2149754
3.0,3.360209
1.0,2.4969394
1.5,3.4581032
2.25,3.8482792
1.0,2.289269
3.25,4.046025
3.0,3.6845803
1.0,2.9471285
1.25,2.5846775
2.25,3.7825253
1.5,3.1383367
1.5,2.8125603
1.5,2.9734242
1.75,3.382109
1.5,3.2221062
2.0,2.791046
1.25,2.6381907
1.75,3.3725586
1.75,2.5300617
1.5,3.57531
2.75,3.8028812
0.75,3.0467982
1.25,2.779217
2.0,3.1096375
0.75,3.1884975
3.0,4.2072434
2.75,4.453661
0.75,3.0937362
1.25,2.6273422
2.0,3.153969
1.5,2.9717999
1.5,2.3962111
1.25,3.2252035
1.5,3.1011493
1.5,2.7429774
1.75,3.3046303
1.0,3.2324407
1.5,3.1405349
1.5,3.465915
1.25,2.7692878
2.5,3.5250223
0.75,2.2613852
1.0,2.3284771
1.75,3.408141
0.75,2.6644135
2.75,3.2868426
2.5,3.6930022
