Actual Flu Population,Estimated Flu Population
15.000001,15.1566305
13.75,13.8356695
11.5,11.647651
13.0,13.089322
13.0,12.9990425
13.500001,13.502114
12.5,12.46045
13.0,13.070332
12.0,11.935391
14.0,14.112931
12.5,12.495439
12.5,12.745661
13.249999,13.256657
10.0,10.1919155
16.0,16.047127
14.0,13.846365
11.5,11.475501
15.75,15.735323
9.75,9.943671
9.75,9.958856
22.0,19.80436
20.25,18.137112
16.75,15.061824
19.0,17.023102
19.0,17.062723
19.75,17.618277
18.5,16.60582
19.0,16.999418
17.75,15.970203
20.5,18.280237
18.25,16.371616
18.5,16.447502
19.5,17.468647
14.5,13.289157
23.25,20.851175
20.5,18.359468
17.0,15.274692
23.0,20.532969
14.0,12.684435
14.5,12.925233
25.25,24.282425
23.5,22.337063
19.75,18.845951
22.0,20.922901
22.25,21.022503
23.0,21.822947
21.5,20.315725
22.25,21.24804
20.5,19.427704
23.75,22.656382
21.25,20.28412
21.5,20.564018
22.75,21.866362
17.0,16.047287
26.750002,25.624228
23.75,22.843916
19.75,18.985676
26.499998,25.335981
16.5,15.824202
17.0,16.332361
26.249998,26.05679
24.5,24.054634
20.75,20.37668
23.25,23.00636
23.25,22.866024
24.0,23.816307
22.75,22.30652
23.25,22.721687
21.75,21.27136
24.75,24.358393
22.5,21.984694
22.5,22.129936
23.75,23.428919
18.25,17.77215
27.5,27.149271
25.0,24.417587
21.0,20.487099
27.25,26.972136
17.75,17.276205
18.25,17.864475
25.75,25.995184
24.25,24.2541
21.0,20.958202
23.0,23.132448
23.25,23.133541
23.75,23.859911
22.75,22.6981
23.25,23.11691
21.75,21.807995
24.5,24.504084
22.5,22.37806
22.5,22.407036
23.75,23.849033
18.5,18.458214
26.750002,26.963385
24.5,24.56929
21.25,21.290192
26.499998,26.756996
18.25,18.23953
18.5,18.384743
24.5,24.914196
23.25,23.586065
20.5,20.821205
22.25,22.527971
22.25,22.561514
22.75,22.949137
22.0,22.113815
22.25,22.479847
21.25,21.41945
23.25,23.769737
21.75,21.923578
21.75,21.929295
22.75,23.007883
18.25,18.402493
25.25,25.857744
23.5,23.851889
20.5,20.742113
25.0,25.490494
18.0,17.921331
18.25,18.22394
22.5,23.181604
21.75,22.387348
19.5,19.947752
21.0,21.368303
21.0,21.276947
