rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares,euclidean distance
1,921.7248,0.0,76.436485,17.100002,14.767482
2,914.41785,0.0,43.162357,19.099998,18.949305
3,908.7791,0.0,50.83632,19.699999,22.073221
4,905.51953,0.0,62.841324,20.700003,20.264284
5,902.7725,0.0,82.891525,22.7,19.377897
6,902.0358,0.0,50.001167,20.599998,17.673214
7,891.21234,0.0,64.13861,21.1,16.024237
8,890.207,0.0,48.35437,19.599998,21.996025
9,890.1125,0.0,52.56559,21.4,18.09997
10,884.11676,0.0,48.19064,20.0,17.21061
11,880.9248,0.0,73.56815,18.100002,18.046282
12,877.8826,0.0,70.32837,18.7,19.621387
13,874.5405,0.0,38.371403,16.0,18.20878
14,873.6327,0.0,44.170826,18.0,14.778525
15,870.37634,0.0,65.02327,19.900002,20.345293
16,868.70526,0.0,36.751972,19.900002,18.67349
17,867.66864,0.0,63.455414,20.1,14.971699
18,866.489,0.0,50.210598,17.6,18.355705
19,863.9237,0.0,92.06938,19.099998,20.070871
20,861.5524,0.0,61.64537,18.8,18.326578
21,860.7657,0.0,56.317074,17.900002,20.155457
22,860.5018,0.0,56.594795,18.6,16.908478
23,859.7103,0.0,54.726322,19.5,21.427122
24,859.19684,0.0,63.42681,19.700003,22.207134
25,856.83997,0.0,48.978092,18.6,16.60313
26,856.39215,0.0,50.04527,20.2,18.509083
27,853.442,0.0,57.597363,19.099998,19.84113
28,851.6064,0.0,74.20974,20.399998,21.322206
29,851.5688,0.0,49.779144,20.1,19.10262
30,851.11115,0.0,70.04449,19.9,17.81795
31,850.523,0.0,58.905495,20.999998,15.792901
32,850.0105,0.0,48.292294,19.0,16.393568
33,849.09515,0.0,34.975048,19.8,20.754595
34,848.10956,0.0,61.630474,17.8,16.174448
35,846.31525,0.0,48.24371,17.4,18.300821
36,845.9537,0.0,42.32491,19.4,18.481037
37,844.9225,0.0,59.940468,19.2,23.289133
38,843.0754,0.0,49.153175,20.5,20.148535
39,842.2053,0.0,61.192467,18.1,20.014463
40,841.2959,0.0,80.57378,19.800003,17.430647
41,839.9448,0.0,83.29256,18.000002,15.7227
42,837.8751,0.0,66.31189,17.400002,13.499733
43,837.7873,0.0,55.706783,19.1,22.290306
44,836.6485,0.0,43.2837,18.3,19.142233
45,836.6356,0.0,60.56896,18.600002,15.208559
46,836.449,0.0,62.70976,18.600002,17.605114
47,834.40607,0.0,66.72728,18.500002,18.39896
48,833.0133,0.0,42.861122,20.199999,16.958363
49,832.5544,0.0,34.101135,17.4,19.746588
50,832.5416,0.0,101.11295,20.500002,16.925282
51,830.07965,0.0,47.619953,20.5,19.536238
52,830.0091,0.0,59.70407,18.7,15.740244
53,829.8019,0.0,40.69081,18.7,20.321957
54,829.61945,0.0,42.31275,20.8,18.818201
55,829.58685,0.0,48.17303,16.7,19.779188
56,828.66296,0.0,53.015434,19.1,17.977057
57,827.47327,0.0,60.3471,18.1,17.584791
58,827.2094,0.0,77.39799,20.200003,17.811129
59,827.0866,0.0,64.70816,20.0,17.85388
60,827.0786,0.0,46.740177,20.3,17.154737
61,825.87933,0.0,40.044476,18.399998,20.704386
62,825.3974,0.0,64.47724,19.099998,14.091045
63,825.1535,0.0,50.68074,18.8,18.46059
64,824.77563,0.0,44.43342,18.6,20.353693
65,824.72253,0.0,50.602222,19.1,13.045021
66,823.74115,0.0,74.30175,20.5,21.284876
67,823.42487,0.0,46.455627,18.5,18.382812
68,823.11566,0.0,49.244095,20.8,16.350267
69,822.5263,0.0,56.585308,18.800001,17.16417
70,822.34344,0.0,82.55838,19.2,16.464895
71,821.7881,0.0,65.84705,19.900002,16.88783
72,821.095,0.0,42.362095,19.199999,15.482528
73,819.7718,0.0,66.06663,20.400002,19.420242
74,818.87537,0.0,65.32277,18.1,17.01981
75,818.2931,0.0,43.622902,18.699999,16.472576
76,818.27124,0.0,65.34074,17.1,16.84117
77,817.4157,0.0,67.40303,17.000002,20.502834
78,814.8479,0.0,73.82348,18.2,18.828278
79,814.0256,0.0,52.75971,19.7,17.933886
80,812.7425,0.0,68.75494,17.6,17.211548
81,812.5906,0.0,53.884533,18.4,19.380495
82,812.5626,0.0,31.787647,19.599997,21.893652
83,812.5081,0.0,63.038197,19.3,16.240826
84,812.2683,0.0,49.664803,19.199999,20.814888
85,810.8618,0.0,74.05511,20.300001,15.938827
86,810.7002,0.0,51.505833,18.5,17.737875
87,809.2882,0.0,56.04285,20.000002,18.05494
88,808.8199,0.0,39.957672,19.5,22.95913
89,808.78326,0.0,42.935833,16.9,19.034334
90,808.6313,0.0,55.594975,19.6,18.865948
91,808.46124,0.0,55.792843,19.3,19.729862
92,807.7309,0.0,57.99005,19.699999,19.570152
93,807.66144,0.0,59.791973,19.400002,17.856907
94,807.50116,0.0,72.45915,19.300001,18.917084
95,807.044,0.0,60.406357,18.5,19.991169
96,806.6483,0.0,77.59108,19.700003,20.071308
97,806.38605,0.0,30.290344,19.5,20.355747
98,805.9586,0.0,73.61998,20.2,18.905825
99,805.63495,0.0,58.582596,19.100002,17.68282
100,805.61096,0.0,60.335133,18.7,15.598443
101,805.18427,0.0,48.14431,19.1,21.027496
102,804.6376,0.0,39.457188,18.599998,19.25368
103,804.5641,0.0,57.363907,18.100002,15.635957
104,803.9624,0.0,86.67836,20.9,12.470798
105,803.76227,0.0,64.61568,19.000002,20.580208
106,803.51776,0.0,39.448795,19.4,19.622059
107,803.3739,0.0,46.94096,17.300003,19.23892
108,803.2107,0.0,32.803303,19.099997,16.054277
109,803.03503,0.0,63.01747,19.3,19.927593
110,803.0115,0.0,59.985214,18.7,17.33861
111,802.23694,0.0,50.880547,20.4,16.340755
112,801.89307,0.0,54.35896,17.9,15.999519
113,801.8919,0.0,68.662415,19.9,18.612627
114,801.34106,0.0,53.41401,19.499998,21.503023
115,801.2352,0.0,59.49783,18.7,17.47758
116,800.5481,0.0,45.937607,18.900002,21.866621
117,798.91675,0.0,49.60887,19.2,20.502897
118,798.43866,0.0,68.12299,19.999998,21.025623
119,798.3357,0.0,47.31623,20.800001,19.200312
120,797.75525,0.0,41.135693,17.1,18.643017
121,797.74854,0.0,49.111946,18.700003,18.77228
122,797.3294,0.0,67.59572,19.300001,20.979347
123,796.83673,0.0,52.32919,18.900002,13.733461
124,796.80365,0.0,71.323975,18.099998,21.933184
125,796.4425,0.0,33.624187,17.7,19.651178
126,796.3933,0.0,49.386703,17.899998,19.945263
127,796.3674,0.0,56.16165,18.6,20.157497
128,796.1577,0.0,75.740845,19.300001,16.093088
129,796.09,0.0,61.03173,19.299997,14.670168
130,796.06213,0.0,48.24429,21.7,20.122707
131,795.9789,0.0,50.125343,20.000002,17.231588
132,795.8662,0.0,42.070686,16.699999,18.314388
133,795.69196,0.0,53.440117,18.500002,13.609069
134,795.56946,0.0,51.891754,18.7,17.386505
135,795.25397,0.0,37.512085,18.0,20.665333
136,794.37177,0.0,49.891987,19.2,17.596886
137,794.00757,0.0,59.20366,19.600002,19.09155
138,793.4226,0.0,52.76244,18.699999,17.140516
139,793.1157,0.0,52.355606,20.6,17.574434
140,793.02435,0.0,56.667114,20.6,20.952303
141,792.6202,0.0,54.01677,18.599997,14.672781
142,792.05347,0.0,55.874893,18.199999,17.2402
143,792.02325,0.0,66.308014,19.900002,19.320324
144,791.88165,0.0,65.396126,19.4,19.951546
145,791.8316,0.0,52.240753,18.199999,16.020195
146,790.9255,0.0,47.07407,19.8,17.024868
147,790.84515,0.0,51.063152,18.6,14.881714
148,790.725,0.0,57.559124,19.699999,15.832153
149,790.5362,0.0,45.414707,20.500002,18.994026
150,790.51355,0.0,61.85292,19.800001,21.484108
151,790.41595,0.0,54.48899,17.699999,14.075905
152,790.30383,0.0,53.418625,20.200003,15.932548
153,789.2937,0.0,56.358803,20.299997,16.367214
154,788.96783,0.0,53.338867,19.0,15.263033
155,788.72076,0.0,61.733246,20.399998,14.902218
156,788.6006,0.0,56.266,18.000002,15.633899
157,788.5741,0.0,69.394936,19.000002,19.628536
158,788.50946,0.0,57.27053,19.3,15.733818
159,788.46497,0.0,48.249065,17.900002,19.654543
160,787.58624,0.0,41.78863,19.699999,16.661398
161,787.4053,0.0,48.599323,18.0,18.653627
162,787.03345,0.0,62.1524,20.0,19.558847
163,786.98083,0.0,45.41031,17.0,14.756946
164,786.8938,0.0,51.280365,19.5,14.72517
165,786.8552,0.0,59.059216,18.9,20.679287
166,786.3231,0.0,57.79996,19.0,21.572138
167,786.1654,0.0,37.016537,18.400002,19.454262
168,785.9452,0.0,68.93837,19.6,17.546537
169,785.6602,0.0,50.987926,19.3,18.61987
170,785.4153,0.0,46.843594,18.999998,15.993389
171,784.96106,0.0,41.281834,20.4,17.783363
172,784.89124,0.0,57.59894,18.6,17.418653
173,784.8512,0.0,75.53998,18.900002,16.48043
174,784.7188,0.0,35.023304,18.199999,13.737523
175,784.6754,0.0,33.817043,19.000002,12.828475
176,784.5637,0.0,37.19806,17.800001,19.089996
177,784.3167,0.0,55.041435,18.300003,15.799782
178,783.9808,0.0,56.70612,19.900002,18.612444
179,783.8105,0.0,45.11656,17.699997,20.746723
180,783.6515,0.0,53.15184,18.699999,19.671253
181,783.08563,0.0,52.004623,17.8,18.020401
182,782.9847,0.0,37.290928,18.9,21.340225
183,782.89154,0.0,56.047043,20.4,19.674574
184,782.7542,0.0,53.85438,18.7,19.78203
185,782.52734,0.0,36.999035,18.100002,19.975353
186,782.1668,0.0,43.98078,17.0,21.868193
187,781.50696,0.0,48.770786,18.999998,17.021736
188,780.55304,0.0,62.576862,18.3,16.658804
189,780.25195,0.0,39.84275,19.1,18.18747
190,779.7158,0.0,31.067808,20.0,18.992676
191,779.36914,0.0,57.47353,19.800001,19.64268
192,779.1786,0.0,32.47969,19.800001,19.87532
193,778.8299,0.0,55.317135,20.600004,20.010584
194,778.77185,0.0,64.79674,20.400002,18.228476
195,778.62164,0.0,58.596046,20.000002,19.983046
196,778.314,0.0,59.233486,21.5,19.480904
197,778.26697,0.0,66.495514,19.5,19.409174
198,778.0587,0.0,46.540375,18.000002,20.224781
199,777.7781,0.0,49.419914,18.700003,19.726397
200,777.5606,0.0,43.031857,18.4,16.418816
201,776.7959,0.0,27.048794,18.400002,17.776037
202,776.5628,0.0,59.970524,17.6,19.506046
203,776.2587,0.0,39.502754,18.500002,14.355212
204,776.24084,0.0,47.555927,20.500002,17.682362
205,775.7309,0.0,52.385548,20.3,20.506113
206,775.68494,0.0,52.170044,21.900002,17.166508
207,775.5457,0.0,74.30639,19.800001,19.94078
208,775.5238,0.0,57.626335,20.5,20.268637
209,774.9485,0.0,78.268654,19.600002,20.568497
210,774.9345,0.0,57.074448,19.199999,20.594917
211,774.9115,0.0,54.66718,19.100002,16.03061
212,774.7437,0.0,48.469345,18.000002,20.687225
213,774.52765,0.0,75.4844,21.0,19.4505
214,774.50934,0.0,38.789288,20.600002,15.393481
215,773.98865,0.0,57.37822,17.199999,19.383635
216,773.8307,0.0,54.442036,18.1,17.572304
217,773.7747,0.0,66.94624,20.599998,20.204805
218,773.43256,0.0,40.691383,18.999998,20.06511
219,773.05444,0.0,42.01588,18.099998,19.587484
220,772.6718,0.0,28.208319,21.099998,17.80245
221,772.2806,0.0,31.225458,15.8,20.06697
222,771.9327,0.0,59.874405,20.600002,17.522509
223,771.8831,0.0,43.693764,19.000002,17.572147
224,771.84094,0.0,72.37996,19.5,19.051563
225,771.5573,0.0,32.369915,17.6,15.761654
226,771.55,0.0,72.81307,20.8,23.611103
227,771.411,0.0,66.52159,18.800001,18.425432
228,771.18445,0.0,45.91892,18.2,18.465715
229,771.0578,0.0,42.914402,18.4,17.560053
230,770.6843,0.0,49.677296,16.699999,16.031628
231,770.4987,0.0,59.933037,19.4,21.408352
232,770.21906,0.0,65.40863,19.9,19.59684
233,770.0944,0.0,39.26493,18.000002,22.05486
234,769.86115,0.0,56.258915,17.4,18.948486
235,769.70795,0.0,47.509937,19.3,17.838999
236,769.68164,0.0,74.79372,20.4,20.90188
237,769.5784,0.0,54.39019,19.200003,18.980865
238,769.05853,0.0,60.83922,18.5,15.350153
239,768.9408,0.0,55.690746,18.8,17.932287
240,768.7559,0.0,57.186436,19.999998,20.977932
241,768.7317,0.0,58.859055,18.900002,16.891153
242,768.6607,0.0,29.579037,18.5,18.269749
243,768.1842,0.0,56.24522,19.4,17.736017
244,768.0343,0.0,36.855644,18.8,19.240183
245,767.52686,0.0,44.4011,17.9,19.328978
246,767.2801,0.0,85.640526,18.599998,14.498945
247,767.06775,0.0,56.629868,20.800001,20.504581
248,766.99023,0.0,45.242683,18.0,19.187294
249,766.7971,0.0,59.46199,18.3,21.163248
250,766.7335,0.0,86.086945,20.599998,16.140812
251,766.4369,0.0,35.629887,20.699999,20.064938
252,766.3747,0.0,42.19275,18.400002,18.369726
253,766.23737,0.0,40.16948,17.500002,18.242607
254,766.12366,0.0,48.05242,18.400002,17.902159
255,765.53864,0.0,60.242355,18.3,15.296511
256,765.42377,0.0,65.07501,18.999998,15.890982
257,764.9254,0.0,73.28782,20.599998,15.445597
258,764.8431,0.0,73.55689,20.099998,15.97838
259,764.5859,0.0,44.29099,20.3,17.137228
260,764.4394,0.0,44.18818,18.0,18.693304
261,764.27313,0.0,50.67097,19.800001,19.834621
262,764.1053,0.0,31.615738,17.9,21.085766
263,763.9008,0.0,46.688927,20.9,17.608828
264,763.7122,0.0,35.109642,18.300001,22.630194
265,763.70087,0.0,42.137615,18.099998,21.674086
266,763.627,0.0,41.8672,18.8,23.527008
267,763.1929,0.0,72.028694,20.199999,21.009752
268,762.47723,0.0,79.99996,19.4,19.07865
269,762.4331,0.0,47.981346,18.8,16.685745
270,762.3988,0.0,71.654434,20.1,21.396976
271,762.3983,0.0,86.35277,20.300001,17.450031
272,762.29645,0.0,33.39054,18.3,24.052784
273,762.20807,0.0,63.47168,18.8,18.899101
274,762.06635,0.0,41.23051,18.399998,19.432608
275,762.03284,0.0,61.02482,18.699999,16.340685
276,761.8805,0.0,45.06335,20.399998,20.21642
277,761.8399,0.0,62.214436,19.300003,18.32091
278,761.62024,0.0,55.963627,20.6,19.844963
279,761.5734,0.0,68.395645,21.4,19.738878
280,761.5076,0.0,49.86663,20.8,20.409857
281,761.1405,0.0,55.638363,18.800001,18.68948
282,761.0841,0.0,51.30461,21.0,17.37289
283,761.0523,0.0,53.68989,19.9,17.689661
284,760.9971,0.0,55.363274,19.7,12.939687
285,760.90015,0.0,64.81179,21.500002,17.187958
286,760.8149,0.0,51.906662,18.1,17.403439
287,760.79803,0.0,47.980858,21.000002,21.899776
288,760.66956,0.0,63.793,18.099998,18.15673
289,760.469,0.0,44.951405,18.2,23.10176
290,760.05237,0.0,50.037178,20.600002,14.593466
291,759.8605,0.0,27.956768,18.7,20.64241
292,759.8356,0.0,54.308777,18.9,14.54624
293,759.75726,0.0,58.703705,20.700003,21.726048
294,759.71075,0.0,47.697792,17.300001,19.67558
295,759.7018,0.0,59.151558,19.2,14.750736
296,759.5993,0.0,52.4898,17.600002,18.710705
297,759.38184,0.0,61.894634,18.600002,18.026852
298,759.341,0.0,46.08985,18.599998,18.396547
299,758.9866,0.0,72.02809,20.099998,17.387045
300,758.7304,0.0,51.884617,19.300001,21.740644
301,758.68005,0.0,40.259777,18.2,22.21779
302,758.49005,0.0,53.06883,18.900002,14.185911
303,758.1069,0.0,46.783115,18.6,20.282236
304,757.4924,0.0,55.313515,19.000002,20.855118
305,757.48096,0.0,40.342476,21.9,17.854034
306,757.4097,0.0,61.493717,19.5,18.456936
307,757.32587,0.0,64.313156,20.500004,15.49462
308,757.31714,0.0,45.252113,18.2,24.11331
309,756.6945,0.0,56.705135,18.300001,15.976938
310,756.69257,0.0,59.89188,18.2,13.857104
311,756.61975,0.0,66.087875,19.800001,15.397772
312,756.4216,0.0,59.53031,20.6,21.867851
313,756.40765,0.0,49.91826,18.4,20.07348
314,756.37054,0.0,51.42144,19.9,21.743807
315,756.3075,0.0,61.732075,18.5,17.81053
316,756.28595,0.0,39.67848,18.600002,18.818586
317,756.2153,0.0,55.924793,19.6,20.206398
318,756.1478,0.0,48.503193,19.2,19.931011
319,756.009,0.0,52.497482,20.900002,15.811116
320,755.864,0.0,42.90146,16.400002,16.892046
321,755.3998,0.0,46.72149,19.300003,18.97647
322,755.2466,0.0,52.547604,18.9,18.078106
323,754.9337,0.0,50.8291,16.599998,20.114689
324,754.85284,0.0,57.290604,19.300001,15.34275
325,754.07227,0.0,26.537458,18.599998,19.804024
326,753.93036,0.0,44.18204,17.9,20.068441
327,753.9281,0.0,32.624504,19.199999,20.958473
328,753.91644,0.0,51.24904,20.400002,19.812813
329,753.7626,0.0,46.727364,18.800001,16.068388
330,753.57733,0.0,50.30623,18.4,19.826086
331,753.3633,0.0,71.264984,20.500002,19.400969
332,753.3624,0.0,57.9993,18.899998,18.294754
333,753.0181,0.0,37.34639,19.599998,23.484167
334,752.6794,0.0,43.215652,17.599998,18.907745
335,752.67834,0.0,45.208405,17.300001,16.593458
336,752.65436,0.0,50.958023,18.599998,16.268013
337,752.43097,0.0,51.277287,17.6,14.023896
338,752.3771,0.0,38.849224,18.499998,17.329018
339,752.31055,0.0,56.494827,18.9,20.891813
340,752.10266,0.0,34.40251,17.499998,19.249462
341,751.8532,0.0,43.55195,19.500002,19.039734
342,751.77106,0.0,68.16205,18.7,19.75416
343,751.58264,0.0,50.003475,21.2,18.68494
344,751.28046,0.0,67.74329,20.200003,17.255354
345,751.2622,0.0,50.019787,19.6,17.311329
346,750.442,0.0,61.827335,18.699999,19.524206
347,750.4058,0.0,64.299126,21.1,18.774818
348,750.17236,0.0,61.342335,20.199999,20.017643
349,750.1067,0.0,46.40821,19.499998,18.883097
350,750.0965,0.0,88.75826,21.2,19.593002
351,750.0518,0.0,55.114174,20.2,20.991373
352,749.78564,0.0,61.99544,20.0,15.8482065
353,749.64484,0.0,35.018173,19.800001,25.31336
354,749.44,0.0,59.429337,18.2,16.786674
355,748.9832,0.0,63.37531,18.199999,15.017217
356,748.8293,0.0,63.133583,19.4,15.782219
357,748.6439,0.0,37.840347,19.9,16.891077
358,748.27856,0.0,76.37284,18.1,18.828098
359,748.1542,0.0,29.36243,19.8,20.755896
360,747.89404,0.0,61.04746,18.400002,16.594954
361,747.6656,0.0,46.920803,17.600002,14.226535
362,746.5046,0.0,36.99869,18.7,15.903213
363,746.2776,0.0,56.520885,17.300001,20.398907
364,746.2068,0.0,38.110626,18.900002,20.867273
365,745.7166,0.0,51.099384,20.6,16.627047
366,745.484,0.0,38.171978,19.5,20.04895
367,745.3703,0.0,41.61488,18.900002,19.752445
368,745.1893,0.0,44.195526,19.5,17.19664
369,745.09863,0.0,53.04566,18.300001,20.254398
370,745.0587,0.0,38.162838,17.3,17.997473
371,744.73126,0.0,39.730938,19.400002,22.630909
372,744.2985,0.0,31.296091,17.800001,18.451765
373,744.2957,0.0,55.619602,18.5,16.826694
374,744.1496,0.0,57.691704,20.9,17.804157
375,743.78894,0.0,31.963,18.600002,20.931316
376,743.6553,0.0,52.98674,19.300001,20.32518
377,743.5508,0.0,87.72218,20.1,17.031448
378,743.4333,0.0,46.350677,19.000002,17.635315
379,743.39044,0.0,34.9147,17.999998,18.56862
380,743.3296,0.0,46.81335,20.000004,19.205
381,743.2691,0.0,51.248188,20.100002,18.268034
382,743.232,0.0,53.510143,18.5,17.222034
383,743.2186,0.0,56.854362,18.8,20.854715
384,742.96326,0.0,43.66262,18.000002,14.230005
385,742.8476,0.0,41.338547,19.000002,19.742395
386,742.7198,0.0,48.290245,17.1,19.936954
387,742.5127,0.0,28.53202,18.1,19.32179
388,742.2335,0.0,38.548332,19.4,18.589523
389,742.1969,0.0,49.36477,18.5,19.87951
390,742.07544,0.0,50.96124,18.8,20.20281
391,742.0616,0.0,40.164314,18.400002,23.883163
392,742.05304,0.0,63.48331,19.7,19.543186
393,741.77155,0.0,43.886898,19.7,17.688793
394,741.46735,0.0,52.885002,19.9,15.405054
395,741.26117,0.0,25.057022,17.7,23.998323
396,741.2331,0.0,66.67956,18.800001,20.936796
397,741.2257,0.0,39.33345,17.3,20.089514
398,741.03,0.0,66.99012,20.199999,20.6539
399,740.9485,0.0,34.29394,18.5,20.676695
400,740.66974,0.0,49.563534,17.8,17.549208
401,740.6396,0.0,52.305992,19.0,18.086344
402,739.96234,0.0,54.271923,17.300001,17.513968
403,739.8333,0.0,52.299374,18.999998,19.940811
404,739.3385,0.0,53.10418,19.300003,15.579691
405,739.1303,0.0,53.01229,20.2,18.646515
406,738.99445,0.0,57.385834,19.3,20.01685
407,738.91516,0.0,46.831257,20.1,19.744287
408,738.87555,0.0,51.422863,17.9,19.521143
409,738.6495,0.0,72.66088,19.300001,18.833326
410,738.6314,0.0,63.344856,19.3,17.737984
411,738.61237,0.0,43.862625,19.800001,17.913815
412,738.56323,0.0,65.42679,18.0,17.797007
413,738.5151,0.0,65.02046,18.4,20.922104
414,738.4217,0.0,59.18117,17.7,19.690435
415,738.27686,0.0,64.57009,19.0,21.463623
416,738.2684,0.0,30.365675,18.5,17.522797
417,738.223,0.0,41.01689,18.1,17.762104
418,738.18695,0.0,65.690025,19.800003,17.456232
419,737.96826,0.0,54.22254,17.3,21.1035
420,737.9367,0.0,49.942974,21.2,21.677214
421,737.93207,0.0,66.768715,21.800001,16.707169
422,737.90497,0.0,50.362152,18.6,18.00188
423,737.8987,0.0,73.985214,21.199997,16.448748
424,737.5703,0.0,44.414017,19.0,20.114145
425,737.54315,0.0,54.004585,20.300001,22.130423
426,737.5067,0.0,48.748894,18.5,18.25588
427,737.4854,0.0,47.533737,19.099998,17.802773
428,737.37695,0.0,62.59125,19.000002,14.983652
429,737.3711,0.0,46.24059,19.800001,19.437654
430,737.3496,0.0,39.736607,18.300001,16.512648
431,737.3125,0.0,45.86976,17.499998,21.684612
432,737.1647,0.0,47.810642,19.0,17.09242
433,737.1577,0.0,49.3687,21.400002,19.313818
434,736.9933,0.0,83.83835,20.900002,19.153376
435,736.8945,0.0,55.815235,19.799997,14.959386
436,736.8775,0.0,55.916935,18.6,24.427517
437,736.8428,0.0,60.517746,19.399998,17.2949
438,736.82947,0.0,59.796776,18.7,13.9225235
439,736.7845,0.0,75.23085,16.3,21.0413
440,736.70593,0.0,26.22667,18.299997,20.951242
441,736.5725,0.0,34.654926,18.9,16.632832
442,736.1603,0.0,45.83626,17.2,17.427355
443,735.78937,0.0,48.749157,20.600002,19.24955
444,735.78644,0.0,45.424892,19.3,18.049
445,735.5479,0.0,46.943443,18.199999,21.230099
446,735.29456,0.0,55.0388,19.499998,18.242449
447,735.25146,0.0,54.607082,18.0,20.164618
448,733.62164,0.0,28.220354,18.000002,22.749212
449,733.2028,0.0,75.6459,19.599998,16.52013
450,732.9276,0.0,50.99913,16.800001,18.093649
451,732.8331,0.0,80.75546,17.9,17.10125
452,732.62683,0.0,59.02421,19.800001,19.738956
453,732.61646,0.0,52.137184,18.5,18.895226
454,732.60205,0.0,46.186287,18.699999,19.532442
455,732.5895,0.0,41.695004,19.5,19.31884
456,732.55774,0.0,72.64078,18.699999,18.409056
457,732.50793,0.0,43.242306,19.9,15.085274
458,732.2407,0.0,77.91333,19.300001,20.744625
459,732.21954,0.0,70.280426,20.200003,17.983124
460,732.07574,0.0,46.2932,18.599998,18.057419
461,731.6993,0.0,49.277733,20.8,18.456118
462,731.69446,0.0,56.727444,20.499998,17.459894
463,731.3425,0.0,58.55517,19.1,20.99396
464,731.319,0.0,65.107216,19.100002,17.437727
465,731.0823,0.0,57.493782,17.2,23.628508
466,730.7092,0.0,33.27186,18.199999,17.348549
467,730.6958,0.0,44.49955,18.800001,16.704992
468,730.5214,0.0,66.37611,20.100002,21.50459
469,730.46075,0.0,62.512886,18.200003,17.515516
470,730.3951,0.0,39.737003,20.200003,24.273344
471,730.2976,0.0,56.84864,17.700005,19.307291
472,730.14276,0.0,50.39545,19.899998,18.879742
473,730.1081,0.0,41.140526,18.0,18.68645
474,730.09216,0.0,36.139557,19.9,25.75157
475,728.8487,0.0,66.24456,19.500002,15.2053
476,728.7806,0.0,48.31968,19.9,18.077618
477,728.1327,0.0,49.633934,17.8,14.518124
478,727.9618,0.0,68.84976,18.0,18.44979
479,727.7604,0.0,60.205418,19.3,21.744585
480,727.7581,0.0,59.977913,17.4,13.86961
481,727.07245,0.0,45.891888,18.4,19.048939
482,726.24664,0.0,58.042652,19.1,18.480583
483,725.6368,0.0,66.70567,20.300001,20.247404
484,725.63605,0.0,26.84731,18.0,19.02968
485,725.53723,0.0,34.875553,19.6,24.16455
486,725.4021,0.0,39.672913,19.2,18.111467
487,725.0158,0.0,45.893776,17.800001,20.005148
488,724.9894,0.0,27.380672,19.8,18.526491
489,724.92456,0.0,53.747967,19.0,15.076739
490,724.61,0.0,57.640976,19.6,17.522463
491,724.4743,0.0,42.977234,19.2,19.643362
492,724.4577,0.0,41.53541,21.5,21.24062
493,724.2689,0.0,62.172848,17.8,18.83563
494,724.195,0.0,69.2634,18.099998,18.457127
495,724.1854,0.0,52.767097,19.5,16.535452
496,724.1584,0.0,70.32352,20.7,18.237232
497,724.0942,0.0,51.374966,19.399998,19.419678
498,724.04755,0.0,67.428276,18.600002,16.696005
499,724.0419,0.0,77.41171,20.2,17.000463
500,723.70087,0.0,59.629593,19.500002,16.823593
501,723.49884,0.0,39.830204,18.999998,17.97273
502,723.49255,0.0,37.147285,18.5,19.098915
503,723.485,0.0,87.83384,19.599997,17.138187
504,723.226,0.0,41.573006,18.5,20.047022
505,723.1663,0.0,44.63068,19.800001,20.880224
506,723.0392,0.0,59.219273,19.200003,17.663599
507,722.8953,0.0,65.02937,18.300001,17.392149
508,722.67096,0.0,60.54487,18.7,20.080368
509,722.6228,0.0,82.01144,18.900002,17.49764
510,722.29034,0.0,57.49445,20.199999,13.758395
511,721.6794,0.0,65.28976,20.099998,21.198057
512,721.3033,0.0,44.298172,18.5,20.956089
513,721.23114,0.0,40.758343,20.6,18.542875
514,721.05566,0.0,56.324287,18.0,19.366768
515,721.0544,0.0,59.518757,17.899998,18.196632
516,720.8826,0.0,50.22331,18.899998,21.59472
517,720.48047,0.0,54.47132,19.799997,21.05495
518,720.40875,0.0,43.801353,18.2,17.93762
519,720.3631,0.0,41.083473,19.3,19.534887
520,720.16705,0.0,51.03128,19.599998,16.796183
521,719.8669,0.0,65.10615,19.599998,18.842762
522,719.4609,0.0,49.735992,19.3,18.154392
523,719.0431,0.0,63.056046,20.2,15.923639
524,719.0099,0.0,47.77147,17.8,18.572447
525,718.89795,0.0,49.73322,20.400002,20.256283
526,718.7617,0.0,51.742886,17.9,16.18055
527,718.684,0.0,60.673676,18.6,15.752301
528,718.58453,0.0,46.062607,17.2,15.804264
529,718.5762,0.0,44.437508,17.800001,14.513002
530,718.209,0.0,54.713196,21.399998,20.65387
531,717.85175,0.0,50.400208,19.100002,18.232395
532,717.2855,0.0,40.077087,19.699999,18.287783
533,717.20636,0.0,63.42436,19.2,18.965984
534,717.19446,0.0,42.877426,18.1,17.239492
535,717.1245,0.0,75.26442,17.3,18.13665
536,716.6101,0.0,45.55014,19.4,22.984198
