Actual Flu Population,Estimated Flu Population
15.000001,15.165336
13.75,13.702726
11.5,11.643692
13.0,13.072837
13.0,12.933403
13.500001,13.238085
12.5,12.795973
13.0,13.171414
12.0,11.794709
14.0,13.852534
12.5,12.600073
12.5,12.786584
13.249999,13.203115
10.0,10.25519
16.0,15.494029
14.0,13.87361
11.5,11.636287
15.75,15.65324
9.75,9.639213
9.75,10.214134
22.0,19.181705
20.25,17.657957
16.75,14.443674
19.0,16.911358
19.0,16.187662
19.75,16.943518
18.5,15.641213
19.0,16.863852
17.75,15.750432
20.5,18.052004
18.25,15.369606
18.5,15.798768
19.5,17.033884
14.5,12.983107
23.25,19.2987
20.5,17.35649
17.0,15.199645
23.0,19.212427
14.0,12.107574
14.5,12.922401
25.25,23.832691
23.5,22.304092
19.75,18.73585
22.0,20.714266
22.25,20.923986
23.0,22.027763
21.5,20.35441
22.25,21.45625
20.5,19.810684
23.75,22.785366
21.25,20.15365
21.5,20.22623
22.75,21.598969
17.0,16.031559
26.750002,25.958885
23.75,23.067875
19.75,18.820312
26.499998,25.54642
16.5,16.102823
17.0,15.960809
26.249998,26.039248
24.5,23.967485
20.75,21.041035
23.25,22.939518
23.25,23.30162
24.0,23.435724
22.75,22.549374
23.25,22.69395
21.75,21.035206
24.75,24.188269
22.5,22.449713
22.5,21.84745
23.75,22.616003
18.25,17.630821
27.5,27.38836
25.0,24.801989
21.0,20.384716
27.25,27.003925
17.75,17.35228
18.25,17.659945
25.75,25.847797
24.25,23.919928
21.0,21.083689
23.0,22.866262
23.25,23.173273
23.75,23.66624
22.75,23.28711
23.25,22.90248
21.75,21.476473
24.5,24.88948
22.5,22.625881
22.5,22.63697
23.75,23.839935
18.5,18.277397
26.750002,26.80889
24.5,25.26593
21.25,20.687027
26.499998,27.036716
18.25,18.18131
18.5,18.26881
24.5,24.660109
23.25,23.521862
20.5,20.752434
22.25,22.273464
22.25,22.699087
22.75,22.932152
22.0,22.254433
22.25,22.5448
21.25,21.494997
23.25,23.664762
21.75,21.94403
21.75,22.166418
22.75,23.407486
18.25,18.736153
25.25,25.491323
23.5,23.894491
20.5,20.113297
25.0,25.57173
18.0,17.673588
18.25,18.266464
22.5,23.097342
21.75,22.007992
19.5,19.22129
21.0,20.975815
21.0,21.466139
21.5,21.501629
20.75,21.546337
21.0,21.426735
20.0,20.19533
21.75,21.831799
20.5,20.193426
20.5,20.47779
21.25,22.057379
17.75,17.779099
23.25,23.486427
21.75,21.842182
19.5,19.137945
23.0,23.719933
17.25,17.814728
17.5,17.312294
20.5,21.074541
20.0,20.653448
18.25,18.418892
19.5,19.771694
19.5,20.328007
19.75,20.621984
19.25,19.691904
19.5,19.860233
18.75,19.564941
20.0,20.079773
19.0,19.75188
19.0,19.152699
19.75,20.044724
16.75,16.62972
21.0,21.230715
20.0,20.847645
18.5,19.291788
20.75,21.520466
16.5,16.361874
16.75,17.079702
18.5,18.761747
18.0,18.315115
17.0,17.322544
17.75,18.142315
17.75,18.249153
18.0,19.07697
17.5,17.140331
17.75,19.023754
17.25,17.656652
18.25,18.753807
17.5,18.280996
17.5,18.141157
18.0,18.691124
15.75,15.977637
18.5,18.70901
18.25,18.738419
17.0,17.141401
18.5,18.842896
15.5,15.732915
15.75,15.7538395
16.5,16.866352
16.25,16.544748
15.5,15.496227
16.25,16.692701
16.25,16.748308
16.25,16.642786
16.0,15.936876
16.25,16.482779
15.75,15.7249975
16.25,17.106201
16.0,16.037655
16.0,16.29656
16.25,16.76932
14.749999,14.994975
16.5,17.167727
16.25,17.127277
15.75,15.854825
16.5,16.895042
14.5,14.782969
14.749999,14.721839
14.5,14.70119
14.5,15.119561
14.25,14.349956
14.5,15.081588
14.5,15.515814
14.5,15.168305
14.5,14.9850025
14.5,14.742383
14.5,14.475531
14.5,15.249722
14.5,14.825864
14.5,14.631285
14.5,15.166639
13.75,14.59914
14.5,15.735612
14.5,15.160358
14.25,14.658085
14.5,15.3486185
13.500001,14.120283
13.75,14.031574
12.75,13.438086
13.0,13.216997
13.0,13.588579
13.0,13.768603
13.0,13.438383
13.0,13.645959
13.0,13.670335
13.0,13.486671
13.0,13.369773
13.0,13.28276
13.0,13.149166
13.0,13.916415
13.0,13.722427
12.75,13.305075
12.5,13.107103
13.0,13.864734
13.0,13.3110485
12.5,13.403181
12.5,12.683775
12.75,13.321208
11.25,11.865032
11.5,11.751207
11.75,12.520013
11.75,12.542203
11.75,12.423859
11.5,12.316441
11.75,12.819038
11.75,11.876022
11.75,12.44648
11.5,12.102103
11.75,12.314385
11.75,12.108857
11.75,12.092528
11.75,11.82664
11.0,11.850805
11.5,12.063683
11.75,12.705332
11.0,11.7146635
11.75,12.060468
11.75,12.323844
9.75,10.500287
10.25,10.447509
10.75,11.128573
10.5,10.614639
10.5,11.017737
10.25,10.703568
10.5,11.3153105
10.5,10.841283
10.75,11.255147
10.25,10.832601
10.5,11.083854
10.5,10.755085
10.25,10.465656
10.75,11.351295
9.5,10.341604
10.0,11.002984
10.75,10.967565
9.5,10.419973
10.75,11.094006
10.75,11.470787
8.5,9.134419
9.0,9.977709
9.75,10.09987
9.25,10.134629
9.25,10.2294035
9.0,10.349364
9.5,9.921715
9.25,9.6170025
9.5,10.595154
9.0,9.282542
9.5,10.422398
9.5,10.450477
9.25,10.003856
10.0,10.30244
8.0,9.086882
9.0,9.898544
9.75,10.754559
8.25,9.818626
10.0,10.090229
10.0,10.488957
7.25,8.842437
8.0,9.195063
8.75,9.5543785
8.25,9.020858
8.25,10.165911
8.0,8.295102
8.5,9.239857
8.25,9.15867
8.5,9.413855
7.75,8.595495
8.5,9.361388
8.5,9.402366
8.0,8.612113
9.0,9.172327
7.0,9.032196
7.75,9.382985
8.75,10.387594
7.0,8.321471
9.0,9.388661
9.0,10.253585
6.5,7.450263
7.0,7.5585313
8.0,8.430939
7.25,8.0636
7.25,7.6713862
7.0,7.9596744
7.5000005,8.3190975
7.25,8.334153
7.75,8.694842
7.0,7.7180014
7.5000005,8.893589
7.5000005,8.697067
7.25,8.557309
8.25,8.67912
6.0,6.764638
6.7500005,7.341571
7.75,8.00908
6.0,6.5386825
8.25,7.648477
8.25,7.9090185
5.5,6.2951956
6.0,6.5940285
7.0,7.2917314
6.5,6.8314695
6.5,6.2115293
6.25,6.2622175
6.7500005,8.416435
6.5,7.3617144
6.7500005,8.050915
6.0,6.872468
6.7500005,7.41031
6.7500005,6.6183996
6.25,6.866603
7.5000005,6.5264935
5.0,6.7962966
6.0,7.3552966
7.0,7.580086
5.25,6.400685
7.75,8.2311945
7.75,8.80502
4.75,4.880248
5.25,6.070858
6.5,7.0233216
5.75,5.3006663
5.75,6.797979
5.5,6.9570947
6.0,6.9282756
5.75,5.8020935
6.25,5.824085
5.25,4.970991
6.0,7.288757
6.0,5.196896
5.5,6.8208036
7.0,7.3094096
4.25,4.360091
5.25,5.391528
6.25,8.002087
4.5,5.436168
7.0,8.040074
7.0,9.016187
4.0,4.7591343
4.75,4.878918
5.75,5.5507326
5.0,6.2730393
5.0,6.5157027
4.75,3.846111
5.25,5.1492915
5.0,5.7969155
5.5,7.5586076
4.5,5.16457
5.25,6.2219853
5.25,5.9100056
5.0,6.4294734
6.25,7.037204
3.7500002,4.0070176
4.5,5.594551
