rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares,euclidean distance
1,105.327415,0.0,0.0,0.0,38.25041
2,101.37171,0.0,0.0,0.0,36.50693
3,100.61816,0.0,0.0,0.0,38.40493
4,100.57828,0.0,57.516502,80.462524,29.429409
5,100.14922,0.0,0.14995237,7.324219E-4,34.774124
6,100.0,0.0,0.0,0.0,30.984276
7,100.0,0.0,0.0,0.0,38.70879
8,100.0,0.0,0.0,0.0,29.92692
9,100.0,0.0,0.0,0.0,36.742847
10,100.0,0.0,0.0,0.0,30.634205
11,100.0,0.0,0.0,0.0,31.969027
12,100.0,0.0,0.0,0.0,27.965452
13,100.0,0.0,0.0,0.0,39.479874
14,100.0,0.0,0.0,0.0,41.18623
15,100.0,0.0,0.0,0.0,34.437
16,100.0,0.0,0.0,0.0,32.936226
17,100.0,0.0,0.0,0.0,30.532757
18,100.0,0.0,0.0,0.0,33.732372
19,100.0,0.0,0.0,0.0,37.000736
20,100.0,0.0,0.0,0.0,38.60679
21,100.0,0.0,0.0,0.0,36.402172
22,100.0,0.0,0.0,0.0,35.315926
23,100.0,0.0,0.0,0.0,36.96792
24,100.0,0.0,0.0,0.0,39.151524
25,100.0,0.0,0.0,0.0,39.717583
26,100.0,0.0,0.0,0.0,31.87972
27,100.0,0.0,0.0,0.0,36.99278
28,100.0,0.0,0.0,0.0,39.54396
29,100.0,0.0,0.0,0.0,36.884487
30,100.0,0.0,0.0,0.0,38.576595
31,100.0,0.0,0.0,0.0,34.861893
32,100.0,0.0,0.0,0.0,32.667118
33,100.0,0.0,0.0,0.0,36.958504
34,100.0,0.0,0.0,0.0,34.971584
35,100.0,0.0,0.0,0.0,36.802963
36,100.0,0.0,0.0,0.0,31.964283
37,100.0,0.0,0.0,0.0,35.332096
38,100.0,0.0,0.0,0.0,39.014893
39,100.0,0.0,0.0,0.0,34.73144
40,100.0,0.0,0.0,0.0,34.173832
41,100.0,0.0,0.0,0.0,39.05182
42,100.0,0.0,0.0,0.0,29.92665
43,100.0,0.0,0.0,0.0,35.19813
44,100.0,0.0,0.0,0.0,32.22332
45,100.0,0.0,0.0,0.0,34.191856
46,100.0,0.0,0.0,0.0,32.060524
47,100.0,0.0,0.0,0.0,35.340538
48,100.0,0.0,0.0,0.0,36.0715
49,100.0,0.0,0.0,0.0,31.858793
50,100.0,0.0,0.0,0.0,32.977592
51,100.0,0.0,0.0,0.0,33.740322
52,100.0,0.0,0.0,0.0,32.53331
53,100.0,0.0,0.0,0.0,34.74757
54,100.0,0.0,0.0,0.0,38.936714
55,100.0,0.0,0.0,0.0,33.786224
56,100.0,0.0,0.0,0.0,53.364876
57,100.0,0.0,0.0,0.0,39.635017
58,100.0,0.0,0.0,0.0,43.601933
59,100.0,0.0,0.0,0.0,44.173115
60,100.0,0.0,0.0,0.0,46.24133
61,100.0,0.0,0.0,0.0,48.095932
62,100.0,0.0,0.0,0.0,41.540123
63,100.0,0.0,0.0,0.0,40.44985
64,100.0,0.0,0.0,0.0,42.86943
65,100.0,0.0,0.0,0.0,29.809742
66,100.0,0.0,0.0,0.0,40.044765
67,100.0,0.0,0.0,0.0,48.850094
68,100.0,0.0,0.0,0.0,41.24084
69,100.0,0.0,0.0,0.0,46.98836
70,100.0,0.0,0.0,0.0,44.45995
71,100.0,0.0,0.0,0.0,39.896904
72,100.0,0.0,0.0,0.0,39.434536
73,100.0,0.0,0.0,0.0,48.453022
74,100.0,0.0,0.0,0.0,31.78988
75,100.0,0.0,0.0,0.0,44.683914
76,100.0,0.0,0.0,0.0,37.841965
77,100.0,0.0,0.0,0.0,50.726643
78,100.0,0.0,0.0,0.0,35.700523
79,100.0,0.0,0.0,0.0,37.46628
80,100.0,0.0,0.0,0.0,45.330288
81,100.0,0.0,0.0,0.0,36.633545
82,100.0,0.0,0.0,0.0,44.90604
83,100.0,0.0,0.0,0.0,47.092598
84,100.0,0.0,0.0,0.0,43.863552
85,100.0,0.0,0.0,0.0,50.720528
86,100.0,0.0,0.0,0.0,39.18714
87,100.0,0.0,0.0,0.0,39.224834
88,100.0,0.0,0.0,0.0,42.012745
89,100.0,0.0,0.0,0.0,45.107693
90,100.0,0.0,0.0,0.0,27.46668
91,100.0,0.0,0.0,0.0,40.84906
