rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares
1,100.80615,0.8532715,0.022216775,0.06933594
2,100.0,0.0,0.0,0.0
3,100.0,0.0,0.0,0.0
4,100.0,0.0,0.0,0.0
5,100.0,0.0,0.0,0.0
6,100.0,0.0,0.0,0.0
7,100.0,0.0,0.0,0.0
8,100.0,0.0,0.0,0.0
9,100.0,0.0,0.0,0.0
10,100.0,0.0,0.0,0.0
11,100.0,0.0,0.0,0.0
12,100.0,0.0,0.0,0.0
13,100.0,0.0,0.0,0.0
14,100.0,0.0,0.0,0.0
15,100.0,0.0,0.0,0.0
16,100.0,0.0,0.0,0.0
17,100.0,0.0,0.0,0.0
18,100.0,0.0,0.0,0.0
19,100.0,0.0,0.0,0.0
20,100.0,0.0,0.0,0.0
21,100.0,0.0,0.0,0.0
22,100.0,0.0,0.0,0.0
23,100.0,0.0,0.0,0.0
24,100.0,0.0,0.0,0.0
25,100.0,0.0,0.0,0.0
26,100.0,0.0,0.0,0.0
27,100.0,0.0,0.0,0.0
28,100.0,0.0,0.0,0.0
29,100.0,0.0,0.0,0.0
30,100.0,0.0,0.0,0.0
31,100.0,0.0,0.0,0.0
32,100.0,0.0,0.0,0.0
33,100.0,0.0,0.0,0.0
34,100.0,0.0,0.0,0.0
35,100.0,0.0,0.0,0.0
36,100.0,0.0,0.0,0.0
37,100.0,0.0,0.0,0.0
38,100.0,0.0,0.0,0.0
39,100.0,0.0,0.0,0.0
40,100.0,0.0,0.0,0.0
41,100.0,0.0,0.0,0.0
42,100.0,0.0,0.0,0.0
43,100.0,0.0,0.0,0.0
44,100.0,0.0,0.0,0.0
45,100.0,0.0,0.0,0.0
46,100.0,0.0,0.0,0.0
47,100.0,0.0,0.0,0.0
48,100.0,0.0,0.0,0.0
49,100.0,0.0,0.0,0.0
50,100.0,0.0,0.0,0.0
51,100.0,0.0,0.0,0.0
52,100.0,0.0,0.0,0.0
53,100.0,0.0,0.0,0.0
54,100.0,0.0,0.0,0.0
55,100.0,0.0,0.0,0.0
56,100.0,0.0,0.0,0.0
57,100.0,0.0,0.0,0.0
58,100.0,0.0,0.0,0.0
59,100.0,0.0,0.0,0.0
60,100.0,0.0,0.0,0.0
61,100.0,0.0,0.0,0.0
62,100.0,0.0,0.0,0.0
63,100.0,0.0,0.0,0.0
64,100.0,0.0,0.0,0.0
65,100.0,0.0,0.0,0.0
66,100.0,0.0,0.0,0.0
67,100.0,0.0,0.0,0.0
68,100.0,0.0,0.0,0.0
69,100.0,0.0,0.0,0.0
70,100.0,0.0,0.0,0.0
71,100.0,0.0,0.0,0.0
72,100.0,0.0,0.0,0.0
73,100.0,0.0,0.0,0.0
74,100.0,0.0,0.0,0.0
75,100.0,0.0,0.0,0.0
76,100.0,0.0,0.0,0.0
77,100.0,0.0,0.0,0.0
78,100.0,0.0,0.0,0.0
79,100.0,0.0,0.0,0.0
80,100.0,0.0,0.0,0.0
81,100.0,0.0,0.0,0.0
