rank,current money,money earned by selling shares,money earned by payoff,money lost by buying shares,euclidean distance
1,10.547842,0.0,10.184058,9.90686,23.10605
2,9.171844,0.0,9.01399,3.5963287,24.647673
3,8.714787,0.0,8.578119,6.3398743,24.197746
4,8.66215,0.0,8.594996,7.48114,18.984474
5,7.9904423,0.0,6.4017916,4.4019775,21.469889
6,7.1544943,0.0,6.2295923,3.4773636,26.499613
7,6.9783363,0.0,6.4767456,2.645668,22.34679
8,6.919719,0.0,6.8113623,3.0966797,23.595207
9,6.9100037,0.0,5.0581017,2.7616577,30.453588
10,6.4858093,0.0,5.7704706,5.5276184,20.656836
11,6.478073,0.0,6.3725567,2.8640137,26.566113
12,6.385196,0.0,5.9915833,1.6157684,34.565796
13,6.0110254,0.0,5.989568,3.2273102,24.874285
14,5.946776,0.0,5.891098,2.2918015,22.351025
15,5.922642,0.0,5.3108664,2.311386,24.222366
16,5.8091564,0.0,5.343012,13.1828,24.153292
17,5.7954063,0.0,5.424308,3.738037,26.948717
18,5.7677917,0.0,5.714612,3.7282104,25.342604
19,5.650767,0.0,4.497952,2.8265,24.570353
20,5.624119,0.0,5.3123283,4.5216064,22.758781
21,5.6228933,0.0,5.485924,3.263092,25.616108
22,5.577389,0.0,5.0596595,4.959488,20.337093
23,5.352416,0.0,4.8202057,4.3987885,22.916836
24,5.2720656,0.0,4.926051,1.3267365,24.102741
25,4.9266176,0.0,4.4273314,6.022705,23.172825
26,4.886792,0.0,4.1907997,6.714203,23.2061
27,4.876419,0.0,4.694968,2.2701263,29.214167
28,4.8525553,0.0,4.5269213,1.6611481,24.855854
29,4.8431916,0.0,4.60265,4.0594177,23.30039
30,4.8077545,0.0,4.803254,2.774002,21.019037
31,4.777392,0.0,3.6817636,1.7015076,26.15408
32,4.7308273,0.0,3.846786,0.8869934,23.983528
33,4.7274666,0.0,4.0761514,1.5101166,26.91359
34,4.7122626,0.0,4.168481,5.2946777,26.240456
35,4.5733285,0.0,4.174166,2.211319,25.636934
36,4.48308,0.0,3.9941914,2.6666565,22.161045
37,4.4669037,0.0,4.423398,4.659683,23.709387
38,4.4610777,0.0,4.4283123,1.611557,25.330046
39,4.425946,0.0,3.654418,1.9941406,26.388948
40,4.3807235,0.0,3.661082,1.7345276,28.874016
41,4.2883406,0.0,3.3889582,1.0131073,24.944347
42,4.2655344,0.0,3.9809303,5.767929,24.352064
43,4.090822,0.0,3.981701,0.96395874,21.4889
44,4.0724435,0.0,3.929717,1.5145874,22.442274
45,3.9755454,0.0,3.160694,1.0361023,25.897873
46,3.8549602,0.0,2.5124753,3.3116455,24.260855
47,3.8312588,0.0,3.805984,0.8152008,25.800732
48,3.7541633,0.0,2.9098625,4.1889343,22.795332
49,3.7235477,0.0,3.4061882,5.416046,23.444633
50,3.6288004,0.0,3.5005884,2.27108,19.691841
51,3.5910697,0.0,3.5625896,2.8930664,24.636484
52,3.537484,0.0,2.9963415,7.757187,24.791307
53,3.5263004,0.0,2.6720428,3.6230087,25.231842
54,3.4772382,0.0,3.130681,1.0636597,18.669512
55,3.457212,0.0,2.2320733,1.7588654,23.282911
56,3.4292936,0.0,3.3364348,3.988083,26.84238
57,3.3720243,0.0,2.9864018,0.48468018,24.632952
58,3.3674095,0.0,3.2238922,1.2285614,23.006203
59,3.3531177,0.0,3.2968545,0.4249878,25.673853
60,3.333553,0.0,3.0204253,0.9133148,24.324131
61,3.3016863,0.0,2.8742871,0.71255493,22.44724
62,3.218326,0.0,2.423974,0.975647,24.580042
63,3.1470134,0.0,3.1039245,3.2731018,21.304832
64,3.1457837,0.0,3.019412,2.829361,27.706976
65,3.136745,0.0,2.9392364,0.4267044,27.052607
66,3.1232493,0.0,2.8865926,3.3943253,27.470818
67,3.1226313,0.0,2.502531,3.3054352,29.477713
68,3.11684,0.0,2.7503476,2.7442932,21.447691
69,2.9524736,0.0,1.9914752,0.17752075,23.249235
70,2.9436913,0.0,2.8793888,0.69200134,24.43766
71,2.9306858,0.0,2.6907334,0.84191895,23.82566
72,2.9265997,0.0,2.557573,1.7719116,25.416729
73,2.926266,0.0,1.6947858,0.93148804,22.834394
